group: Diseases and Symptoms

Diseases = {
disease_code,disease_name,occurrences
"UMLS:C0017160","UMLS:C0000737"
"UMLS:C0017160","UMLS:C0476287"
"UMLS:C0017160","UMLS:C0027497"
"UMLS:C0017160","UMLS:C0043096"
"UMLS:C0017160","UMLS:C0234233"
"UMLS:C0017160","UMLS:C0240962"
"UMLS:C0017160","UMLS:C0015967"
"UMLS:C0017160","UMLS:C0231528"
"UMLS:C0017160","UMLS:C0020625"
"UMLS:C0017160","UMLS:C0232602"
"UMLS:C0017160","UMLS:C0577559"
"UMLS:C0017160","UMLS:C0043096"
"UMLS:C0684249","UMLS:C0221198"
"UMLS:C0684249","UMLS:C0010200"
"UMLS:C0684249","UMLS:C0034079"
"UMLS:C0684249","UMLS:C0392680"
"UMLS:C0684249","UMLS:C0019079"
"UMLS:C0684249","UMLS:C0742985"
"UMLS:C0684249","UMLS:C0232517"
"UMLS:C0684249","UMLS:C0234238"
"UMLS:C0684249","UMLS:C0034642"
"UMLS:C0684249","UMLS:C0028081"
"UMLS:C0684249","UMLS:C0029053"
"UMLS:C0684249","UMLS:C0004093"
"UMLS:C0684249","UMLS:C1513183"
"UMLS:C0684249","UMLS:C0085631"
"UMLS:C0684249","UMLS:C0022107"
"UMLS:C0024713","UMLS:C0455769"
"UMLS:C0024713","UMLS:C0438696"
"UMLS:C0024713","UMLS:C0917799"
"UMLS:C0024713","UMLS:C0424000"
"UMLS:C0024713","UMLS:C0948786"
"UMLS:C0024713","UMLS:C0233762"
"UMLS:C0024713","UMLS:C0233763"
"UMLS:C0024713","UMLS:C0233492"
"UMLS:C0024713","UMLS:C0424068"
"UMLS:C0024713","UMLS:C0150041"
"UMLS:C0024713","UMLS:C1299586"
"UMLS:C0024713","UMLS:C0231187"
"UMLS:C0024713","UMLS:C0558089"
"UMLS:C0024713","UMLS:C0438696"
"UMLS:C0024713","UMLS:C0424000"
"UMLS:C0031212","UMLS:C0028084"
"UMLS:C0031212","UMLS:C0150041"
"UMLS:C0031212","UMLS:C0558141"
"UMLS:C0031212","UMLS:C0233762"
"UMLS:C0031212","UMLS:C0022107"
"UMLS:C0031212","UMLS:C0917801"
"UMLS:C0031212","UMLS:C0085631"
"UMLS:C0031212","UMLS:C0424109"
"UMLS:C0031212","UMLS:C0344315"
"UMLS:C0031212","UMLS:C1384489"
"UMLS:C0031212","UMLS:C0027498"
"UMLS:C0031212","UMLS:C0277794"
"UMLS:C0031212","UMLS:C0748706"
"UMLS:C0031212","UMLS:C0233481"
"UMLS:C0031212","UMLS:C0014394"
"UMLS:C0031212","UMLS:C0237154"
"UMLS:C0031212","UMLS:C0027769"
"UMLS:C0031212","UMLS:C0003962"
"UMLS:C0031212","UMLS:C0033774"
"UMLS:C0019204","UMLS:C0577559"
"UMLS:C0019204","UMLS:C0038002"
"UMLS:C0019204","UMLS:C0221198"
"UMLS:C0019204","UMLS:C0030552"
"UMLS:C0019204","UMLS:C1269955"
"UMLS:C0019204","UMLS:C0848277"
"UMLS:C0019204","UMLS:C0019080"
"UMLS:C0019204","UMLS:C0205400"
"UMLS:C0019204","UMLS:C0085632"
"UMLS:C0019204","UMLS:C0006625"
"UMLS:C0019204","UMLS:C0020672"
"UMLS:C0019204","UMLS:C0000737"
"UMLS:C0019204","UMLS:C0019209"
"UMLS:C0019204","UMLS:C0744727"
"UMLS:C0019204","UMLS:C0085628"
"UMLS:C0019204","UMLS:C0043096"
"UMLS:C0019204","UMLS:C0392680"
"UMLS:C0019204","UMLS:C0010200"
"UMLS:C0034067","UMLS:C0474395"
"UMLS:C0034067","UMLS:C0241158"
"UMLS:C0034067","UMLS:C0231807"
"UMLS:C0034067","UMLS:C0520966"
"UMLS:C0034067","UMLS:C0231528"
"UMLS:C0034067","UMLS:C0020440"
"UMLS:C0034067","UMLS:C0392162"
"UMLS:C0034067","UMLS:C0557075"
"UMLS:C0034067","UMLS:C0848277"
"UMLS:C0034067","UMLS:C0859032"
"UMLS:C0034067","UMLS:C0028081"
"UMLS:C0034067","UMLS:C0006625"
"UMLS:C0034067","UMLS:C0436331"
"UMLS:C0034067","UMLS:C0013404"
"UMLS:C0034067","UMLS:C0034642"
"UMLS:C0034067","UMLS:C0016382"
"UMLS:C0034067","UMLS:C0221150"
"UMLS:C0034067","UMLS:C0003862"
"UMLS:C0034067","UMLS:C0008301"
"UMLS:C0034067","UMLS:C0232726"
"UMLS:C0034067","UMLS:C0009806"
"UMLS:C0019112","UMLS:C0019080"
"UMLS:C0019112","UMLS:C0232695"
"UMLS:C0019112","UMLS:C0278014"
"UMLS:C0019112","UMLS:C0027498"
"UMLS:C0019112","UMLS:C0020175"
"UMLS:C0019112","UMLS:C0011991"
"UMLS:C0019112","UMLS:C0012833"
"UMLS:C0019112","UMLS:C0020625"
"UMLS:C0019112","UMLS:C0009024"
"UMLS:C0019112","UMLS:C0030193"
"UMLS:C0019112","UMLS:C1321756"
"UMLS:C0019112","UMLS:C0085624"
"UMLS:C0019112","UMLS:C0744492"
"UMLS:C0019112","UMLS:C0239832"
"UMLS:C0019112","UMLS:C0043144"
"UMLS:C0019112","UMLS:C0010200"
"UMLS:C0006266","UMLS:C0392680"
"UMLS:C0006266","UMLS:C0241158"
"UMLS:C0006266","UMLS:C0277797"
"UMLS:C0006266","UMLS:C0262581"
"UMLS:C0006266","UMLS:C0030193"
"UMLS:C0006266","UMLS:C0239134"
"UMLS:C0006266","UMLS:C0242429"
"UMLS:C0006266","UMLS:C0013404"
"UMLS:C0006266","UMLS:C0232292"
"UMLS:C0006266","UMLS:C0700292"
"UMLS:C0006266","UMLS:C0231835"
"UMLS:C0006266","UMLS:C0234215"
"UMLS:C0006266","UMLS:C0015967"
"UMLS:C0006266","UMLS:C0042963"
"UMLS:C0006266","UMLS:C0035508"
"UMLS:C0006266","UMLS:C0018991"
"UMLS:C0006266","UMLS:C0231890"
"UMLS:C0003537","UMLS:C0009024"
"UMLS:C0003537","UMLS:C0231872"
"UMLS:C0003537","UMLS:C0427055"
"UMLS:C0003537","UMLS:C0221470"
"UMLS:C0003537","UMLS:C0231530"
"UMLS:C0003537","UMLS:C0522224"
"UMLS:C0003537","UMLS:C0024031"
"UMLS:C0003537","UMLS:C0277823"
"UMLS:C0028756","UMLS:C0848168"
"UMLS:C0028756","UMLS:C0205254"
"UMLS:C0028756","UMLS:C0002962"
"UMLS:C0028756","UMLS:C0010200"
"UMLS:C0028756","UMLS:C0847488"
"UMLS:C0028756","UMLS:C0553668"
"UMLS:C0028756","UMLS:C0020672"
"UMLS:C0028756","UMLS:C0013404"
"UMLS:C0028756","UMLS:C0744727"
"UMLS:C0028756","UMLS:C0043144"
"UMLS:C0028756","UMLS:C0700292"
"UMLS:C0028756","UMLS:C0235634"
"UMLS:C0028756","UMLS:C0424749"
"UMLS:C0034186","UMLS:C0015967"
"UMLS:C0034186","UMLS:C0030193"
"UMLS:C0034186","UMLS:C0085606"
"UMLS:C0034186","UMLS:C0018965"
"UMLS:C0034186","UMLS:C0042963"
"UMLS:C0034186","UMLS:C0085593"
"UMLS:C0034186","UMLS:C0011991"
"UMLS:C0034186","UMLS:C0027497"
"UMLS:C0034186","UMLS:C0000737"
"UMLS:C0034186","UMLS:C0231528"
"UMLS:C0034186","UMLS:C0015967"
"UMLS:C0034186","UMLS:C0085593"
"UMLS:C0014118","UMLS:C0008033"
"UMLS:C0014118","UMLS:C0205400"
"UMLS:C0014118","UMLS:C0231528"
"UMLS:C0014118","UMLS:C0277797"
"UMLS:C0014118","UMLS:C0028081"
"UMLS:C0014118","UMLS:C1517205"
"UMLS:C0014118","UMLS:C0392680"
"UMLS:C0014118","UMLS:C0085619"
"UMLS:C0014118","UMLS:C0549483"
"UMLS:C0014118","UMLS:C0020649"
"UMLS:C0014118","UMLS:C0010200"
"UMLS:C0014118","UMLS:C1513183"
"UMLS:C0014118","UMLS:C0238844"
"UMLS:C0014118","UMLS:C0043096"
"UMLS:C0014118","UMLS:C0043096"
"UMLS:C0014118","UMLS:C0232118"
"UMLS:C0014118","UMLS:C0086439"
"UMLS:C1253937","UMLS:C0232267"
"UMLS:C1253937","UMLS:C0013404"
"UMLS:C1253937","UMLS:C0392680"
"UMLS:C1253937","UMLS:C0578150"
"UMLS:C1253937","UMLS:C0018800"
"UMLS:C1253937","UMLS:C0020649"
"UMLS:C1253937","UMLS:C0241235"
"UMLS:C1253937","UMLS:C0427055"
"UMLS:C1253937","UMLS:C0030193"
"UMLS:C1253937","UMLS:C0028961"
"UMLS:C1253937","UMLS:C0312422"
"UMLS:C1253937","UMLS:C0728899"
"UMLS:C0001973","UMLS:C0040822"
"UMLS:C0001973","UMLS:C0233762"
"UMLS:C0001973","UMLS:C0438696"
"UMLS:C0001973","UMLS:C0424337"
"UMLS:C0001973","UMLS:C0022107"
"UMLS:C0001973","UMLS:C0150041"
"UMLS:C0001973","UMLS:C0424000"
"UMLS:C0001973","UMLS:C0233647"
"UMLS:C0001973","UMLS:C0036572"
"UMLS:C0001973","UMLS:C0237154"
"UMLS:C0001973","UMLS:C0917801"
"UMLS:C0001973","UMLS:C0041657"
"UMLS:C0001973","UMLS:C0030318"
"UMLS:C0001973","UMLS:C0238844"
"UMLS:C0001973","UMLS:C0392680"
"UMLS:C0032326","UMLS:C0013404"
"UMLS:C0032326","UMLS:C1320716"
"UMLS:C0032326","UMLS:C0019079"
"UMLS:C0032326","UMLS:C0010200"
"UMLS:C0032326","UMLS:C0020440"
"UMLS:C0032326","UMLS:C0037580"
"UMLS:C0032326","UMLS:C0242453"
"UMLS:C0032326","UMLS:C0085631"
"UMLS:C0011206","UMLS:C1273573"
"UMLS:C0011206","UMLS:C0424092"
"UMLS:C0011206","UMLS:C0020625"
"UMLS:C0011206","UMLS:C0558089"
"UMLS:C0011206","UMLS:C0424000"
"UMLS:C0011206","UMLS:C0241526"
"UMLS:C0011206","UMLS:C0233481"
"UMLS:C0011206","UMLS:C0234450"
"UMLS:C0011206","UMLS:C0233762"
"UMLS:C0011206","UMLS:C0438696"
"UMLS:C0011206","UMLS:C0015967"
"UMLS:C0011206","UMLS:C0011991"
"UMLS:C0027947","UMLS:C1096646"
"UMLS:C0027947","UMLS:C0038002"
"UMLS:C0027947","UMLS:C0028081"
"UMLS:C0027947","UMLS:C0277797"
"UMLS:C0027947","UMLS:C0221198"
"UMLS:C0027947","UMLS:C1260880"
"UMLS:C0027947","UMLS:C0085593"
"UMLS:C0027947","UMLS:C0010200"
"UMLS:C0027947","UMLS:C0746619"
"UMLS:C0027947","UMLS:C0020598"
"UMLS:C0027947","UMLS:C0028961"
"UMLS:C0027947","UMLS:C0427629"
"UMLS:C0027947","UMLS:C0476273"
"UMLS:C0020433","UMLS:C0010520"
"UMLS:C0020433","UMLS:C0231835"
"UMLS:C0020433","UMLS:C0233070"
"UMLS:C0020433","UMLS:C0428977"
"UMLS:C0020433","UMLS:C0006157"
"UMLS:C0020433","UMLS:C0878661"
"UMLS:C0020433","UMLS:C0010200"
"UMLS:C0020433","UMLS:C0231528"
"UMLS:C0021400","UMLS:C0242143"
"UMLS:C0021400","UMLS:C0015967"
"UMLS:C0021400","UMLS:C0008033"
"UMLS:C0021400","UMLS:C1260880"
"UMLS:C0021400","UMLS:C0242429"
"UMLS:C0021400","UMLS:C0231218"
"UMLS:C0021400","UMLS:C0742985"
"UMLS:C0021400","UMLS:C0436331"
"UMLS:C0021400","UMLS:C0085593"
"UMLS:C0021400","UMLS:C0240962"
"UMLS:C0021400","UMLS:C0277873"
"UMLS:C0021400","UMLS:C0013428"
"UMLS:C0021400","UMLS:C0542073"
"UMLS:C0021400","UMLS:C0018681"
"UMLS:C0021400","UMLS:C0037383"
"UMLS:C0021400","UMLS:C0037384"
"UMLS:C0021400","UMLS:C0457097"
"UMLS:C0021400","UMLS:C0392680"
"UMLS:C0021400","UMLS:C0476273"
"UMLS:C0021400","UMLS:C0312422"
"UMLS:C0021400","UMLS:C0277794"
"UMLS:C0439857","UMLS:C0728899"
"UMLS:C0439857","UMLS:C0040822"
"UMLS:C0439857","UMLS:C0085631"
"UMLS:C0439857","UMLS:C0438696"
"UMLS:C0439857","UMLS:C0237154"
"UMLS:C0439857","UMLS:C0242453"
"UMLS:C0439857","UMLS:C0023380"
"UMLS:C0439857","UMLS:C0036572"
"UMLS:C0439857","UMLS:C0231530"
"UMLS:C0439857","UMLS:C0848340"
"UMLS:C0439857","UMLS:C0150041"
"UMLS:C0439857","UMLS:C0581911"
"UMLS:C0439857","UMLS:C0034642"
"UMLS:C0087086","UMLS:C0086439"
"UMLS:C0087086","UMLS:C0003123"
"UMLS:C0087086","UMLS:C0235396"
"UMLS:C0087086","UMLS:C0392680"
"UMLS:C0087086","UMLS:C0239981"
"UMLS:C0087086","UMLS:C0033774"
"UMLS:C0087086","UMLS:C0234233"
"UMLS:C0087086","UMLS:C0578150"
"UMLS:C0087086","UMLS:C0427055"
"UMLS:C0087086","UMLS:C0042963"
"UMLS:C0087086","UMLS:C0241252"
"UMLS:C0008325","UMLS:C0859032"
"UMLS:C0008325","UMLS:C0027497"
"UMLS:C0008325","UMLS:C0000737"
"UMLS:C0008325","UMLS:C0277977"
"UMLS:C0008325","UMLS:C0016204"
"UMLS:C0008325","UMLS:C0232488"
"UMLS:C0008325","UMLS:C0030193"
"UMLS:C0008325","UMLS:C0003962"
"UMLS:C0008325","UMLS:C0011991"
"UMLS:C0008325","UMLS:C0151878"
"UMLS:C0008325","UMLS:C1320716"
"UMLS:C0008325","UMLS:C0541992"
"UMLS:C0008325","UMLS:C0232201"
"UMLS:C0008325","UMLS:C0425449"
"UMLS:C0008325","UMLS:C0009806"
"UMLS:C0008325","UMLS:C0474505"
"UMLS:C0008325","UMLS:C0702118"
"UMLS:C0019291","UMLS:C0000737"
"UMLS:C0019291","UMLS:C0231230"
"UMLS:C0019291","UMLS:C0240805"
"UMLS:C0019291","UMLS:C0042963"
"UMLS:C0019291","UMLS:C0027497"
"UMLS:C0019291","UMLS:C0231528"
"UMLS:C0019291","UMLS:C0020625"
"UMLS:C0019291","UMLS:C0234233"
"UMLS:C0019291","UMLS:C0858924"
"UMLS:C0019291","UMLS:C0231807"
"UMLS:C0019291","UMLS:C0232766"
"UMLS:C0019291","UMLS:C0744492"
"UMLS:C0019291","UMLS:C0239832"
"UMLS:C0019291","UMLS:C0018681"
"UMLS:C0019291","UMLS:C0085636"
"UMLS:C0149931","UMLS:C0002416"
"UMLS:C0149931","UMLS:C0042963"
"UMLS:C0149931","UMLS:C0012833"
"UMLS:C0149931","UMLS:C0028643"
"UMLS:C0149931","UMLS:C0027497"
"UMLS:C0149931","UMLS:C0015967"
"UMLS:C0149931","UMLS:C0038002"
"UMLS:C0030312","UMLS:C0020639"
"UMLS:C0030312","UMLS:C0015672"
"UMLS:C0030312","UMLS:C0019080"
"UMLS:C0030312","UMLS:C0231230"
"UMLS:C0030312","UMLS:C0878661"
"UMLS:C0030312","UMLS:C0241252"
"UMLS:C0030312","UMLS:C0232488"
"UMLS:C0242216","UMLS:C0042963"
"UMLS:C0242216","UMLS:C0027497"
"UMLS:C0242216","UMLS:C0000737"
"UMLS:C0242216","UMLS:C0030193"
"UMLS:C0242216","UMLS:C0878661"
"UMLS:C0242216","UMLS:C0003962"
"UMLS:C0242216","UMLS:C0205400"
"UMLS:C0242216","UMLS:C0234233"
"UMLS:C0242216","UMLS:C0011991"
"UMLS:C0242216","UMLS:C0277797"
"UMLS:C0242216","UMLS:C0030252"
"UMLS:C0039239","UMLS:C0238705"
"UMLS:C0039239","UMLS:C0700590"
"UMLS:C0039239","UMLS:C0556346"
"UMLS:C0039239","UMLS:C0438716"
"UMLS:C0039239","UMLS:C0241158"
"UMLS:C0039239","UMLS:C1320716"
"UMLS:C0039239","UMLS:C0149746"
"UMLS:C0039239","UMLS:C0392680"
"UMLS:C0039239","UMLS:C0520888"
"UMLS:C0039239","UMLS:C0042963"
"UMLS:C0039239","UMLS:C0000737"
"UMLS:C1258215","UMLS:C0549483"
"UMLS:C1258215","UMLS:C0000727"
"UMLS:C1258215","UMLS:C0740844"
"UMLS:C1258215","UMLS:C0425491"
"UMLS:C1258215","UMLS:C0232498"
"UMLS:C1258215","UMLS:C0027497"
"UMLS:C1258215","UMLS:C0234233"
"UMLS:C1258215","UMLS:C0016204"
"UMLS:C1258215","UMLS:C0011991"
"UMLS:C1258215","UMLS:C0577559"
"UMLS:C1258215","UMLS:C0277797"
"UMLS:C1258215","UMLS:C0009806"
"UMLS:C1258215","UMLS:C0205400"
"UMLS:C1258215","UMLS:C0232995"
"UMLS:C1258215","UMLS:C0000737"
"UMLS:C0001511","UMLS:C0016204"
"UMLS:C0001511","UMLS:C0030193"
"UMLS:C0001511","UMLS:C0456091"
"UMLS:C0001511","UMLS:C0233070"
"UMLS:C0001511","UMLS:C0042963"
"UMLS:C0001511","UMLS:C0034079"
"UMLS:C0001511","UMLS:C0006157"
"UMLS:C0001511","UMLS:C0392680"
"UMLS:C0001511","UMLS:C0043096"
"UMLS:C0001511","UMLS:C0231441"
"UMLS:C0001511","UMLS:C1273573"
"UMLS:C0001511","UMLS:C0233763"
"UMLS:C0001511","UMLS:C0424000"
"UMLS:C0011253","UMLS:C0240233"
"UMLS:C0011253","UMLS:C0392701"
"UMLS:C0011253","UMLS:C0150041"
"UMLS:C0011253","UMLS:C0085631"
"UMLS:C0011253","UMLS:C0233762"
"UMLS:C0011253","UMLS:C0022107"
"UMLS:C0011253","UMLS:C0917801"
"UMLS:C0011253","UMLS:C0233647"
"UMLS:C0011253","UMLS:C0455204"
"UMLS:C0011253","UMLS:C0578859"
"UMLS:C0011253","UMLS:C0233481"
"UMLS:C0011253","UMLS:C0231187"
"UMLS:C0011253","UMLS:C0558089"
"UMLS:C0011253","UMLS:C0007398"
"UMLS:C0011253","UMLS:C0438696"
"UMLS:C0011253","UMLS:C0558261"
"UMLS:C0011253","UMLS:C0312422"
"UMLS:C0011253","UMLS:C0424109"
"UMLS:C0011253","UMLS:C0338656"
"UMLS:C0011253","UMLS:C0022107"
"UMLS:C0011253","UMLS:C0085631"
"UMLS:C0233472","UMLS:C0277794"
"UMLS:C0233472","UMLS:C0917801"
"UMLS:C0233472","UMLS:C0014394"
"UMLS:C0233472","UMLS:C0376405"
"UMLS:C0233472","UMLS:C0150041"
"UMLS:C0233472","UMLS:C0233763"
"UMLS:C0233472","UMLS:C0741453"
"UMLS:C0233472","UMLS:C0242453"
"UMLS:C0011127","UMLS:C0232257"
"UMLS:C0011127","UMLS:C0871754"
"UMLS:C0011127","UMLS:C0015967"
}
